iter	Logloss
0	0.6134035632
1	0.5566204719
2	0.5175027596
3	0.4927977568
4	0.4526506966
5	0.4313697111
6	0.4135044234
7	0.3857492845
8	0.370463002
9	0.3567621973
10	0.3438453233
11	0.3328954453
12	0.3227051519
13	0.3144066402
14	0.3008507351
15	0.2917718902
16	0.2848571066
17	0.2813872642
18	0.2760765993
19	0.2665315747
20	0.2616214395
21	0.25494206
22	0.2486722513
23	0.2450251981
24	0.2412664521
25	0.2365011406
26	0.2318635548
27	0.2299565824
28	0.2267730308
29	0.2222148138
30	0.2197263682
31	0.2139514945
32	0.2122234514
33	0.2101804388
34	0.2072650401
35	0.205489007
36	0.2023128144
37	0.2012282605
38	0.1997286963
39	0.1989711855
40	0.1969185021
41	0.1962450754
42	0.1936294691
43	0.1908306029
44	0.1883458076
45	0.187683557
46	0.1868449607
47	0.1857198465
48	0.1850356231
49	0.1843314245
50	0.1828841036
51	0.18111108
52	0.1789792765
53	0.1778259423
54	0.1770538292
55	0.17399301
56	0.173523397
57	0.1723555168
58	0.1716919697
59	0.1712314586
60	0.1709213463
61	0.1697474281
62	0.1693020068
63	0.1673752935
64	0.1670166057
65	0.1662751187
66	0.1653079373
67	0.1648789972
68	0.1627515957
69	0.1612040628
70	0.1608620947
71	0.1605401112
72	0.1598071357
73	0.1595449045
74	0.1584321515
75	0.15810002
76	0.1577204635
77	0.1574195102
78	0.1571057405
79	0.1564413514
80	0.1561918667
81	0.1558988619
82	0.1547579253
83	0.1541467585
84	0.1538792489
85	0.1531552585
86	0.1527730305
87	0.1520025963
88	0.1515472959
89	0.1514473444
90	0.1511697654
91	0.1504505143
92	0.1501261391
93	0.1497655675
94	0.1495436849
95	0.1491145371
96	0.1487611683
97	0.1485722924
98	0.1484285581
99	0.1477987909
100	0.1473603219
101	0.1471814662
102	0.1466524583
103	0.1459232829
104	0.1457962932
105	0.1448883427
106	0.1443913971
107	0.1442209479
108	0.144072405
109	0.1432405322
110	0.1430897994
111	0.1425343431
112	0.1422271086
113	0.1420821633
114	0.1417156798
115	0.1416495966
116	0.1410378541
117	0.1407714672
118	0.140651914
119	0.1404797359
120	0.1403369891
121	0.1401823304
122	0.1400091562
123	0.1395232608
124	0.1394007678
125	0.1393050258
126	0.1392078374
127	0.1390520196
128	0.138987799
129	0.1388808796
130	0.138809734
131	0.1383789002
132	0.1382590879
133	0.1377352029
134	0.1375714375
135	0.1370720545
136	0.1370098271
137	0.1369515322
138	0.1368364385
139	0.1364909101
140	0.1363837322
141	0.1362554227
142	0.1362165424
143	0.1361612887
144	0.1360901528
145	0.1358846798
146	0.1355940178
147	0.1354956766
148	0.1353092802
149	0.1352099541
150	0.1350481867
151	0.1348673421
152	0.1348333856
153	0.1347661849
154	0.1346514704
155	0.134545972
156	0.1341295272
157	0.1340770882
158	0.1336922228
159	0.1333577513
160	0.1333107905
161	0.1332354895
162	0.1331473933
163	0.133053389
164	0.1328890691
165	0.1326399808
166	0.1325556747
167	0.1323567324
168	0.1320874743
169	0.1319706352
170	0.1317112089
